0001100010
0111110111
0000000111
0010011011
0001000110
0100000010
1101100000
0011111011
0001110101
0000000110
1001000010
1010110100
0101101111
0010001011
1100101001
0111101010
0011011000
1010100110
1111101111
0010110110
0101100011
0011001100
1001101110
0111010001
1101110101
0000011100
1011010010
1001010001
1100001100
1110001101
1001000111
1000010011
0011010101
0000001001
1101010100
0010100110
0001001100
0000110111
1101010110
0111101001
0111011011
1011110110
0010101011
0001100100
1111110000
0110011011
1000110000
1100011100
0011101111
1101100110
0110000101
0111110011
0101001100
1000100110
0101011001
0111010111
1011110000
0101100101
1001001100
0011100111
0011111111
0100011001
1010111000
1100100111

0000000000: []
0000000001: [2, 9]
0000000010: [34, 38]
0000000011: [15, 39]
0000000100: [1, 51]
0000000101: [10, 30]
0000000110: [9]
0000000111: [2]
0000001000: [48, 59]
0000001001: [33]
0000001010: [4, 36]
0000001011: [30, 58]
0000001100: [12, 20]
0000001101: [16, 32]
0000001110: [2, 33]
0000001111: [9, 33]
0000010000: [3, 13]
0000010001: [8, 43]
0000010010: [11, 17]
0000010011: [10, 27]
0000010100: [16, 21]
0000010101: [6, 24]
0000010110: [27, 30]
0000010111: [0, 8]
0000011000: [59, 60]
0000011001: [21, 32]
0000011010: [9, 25]
0000011011: [2, 25]
0000011100: [25]
0000011101: [1, 15]
0000011110: [1, 39]
0000011111: [18, 44]
0000100000: [13, 42]
0000100001: [24, 34]
0000100010: [4, 43]
0000100011: [7, 16]
0000100100: [0, 4]
0000100101: [14, 28]
0000100110: [1, 23]
0000100111: [16, 60]
0000101000: [36, 43]
0000101001: [22, 30]
0000101010: [32, 60]
0000101011: [25, 37]
0000101100: [10, 22]
0000101101: [3, 19]
0000101110: [7, 32]
0000101111: [20, 52]
0000110000: [2, 37]
0000110001: [9, 37]
0000110010: [39, 40]
0000110011: [4, 8]
0000110100: [6, 34]
0000110101: [14, 47]
0000110110: [6, 38]
0000110111: [7, 21]
0000111000: [23, 39]
0000111001: [8, 36]
0000111010: [32, 48]
0000111011: [15, 23]
0000111100: [54, 57]
0000111101: [13, 19]
0000111110: [33, 37]
0000111111: [22, 27]
0001000000: [4, 9]
0001000001: [2, 4]
0001000010: [27, 31]
0001000011: [3, 16]
0001000100: [42, 48]
0001000101: [33, 36]
0001000110: [4]
0001000111: [13, 21]
0001001000: [34, 47]
0001001001: [6, 14]
0001001010: [9, 36]
0001001011: [2, 36]
0001001100: [36]
0001001101: [7, 19]
0001001110: [3, 32]
0001001111: [4, 33]
0001010000: [25, 36]
0001010001: [10, 31]
0001010010: [50, 55]
0001010011: [13, 16]
0001010100: [30, 31]
0001010101: [0, 37]
0001010110: [17, 56]
0001010111: [3, 21]
0001011000: [28, 34]
0001011001: [19, 48]
0001011010: [4, 25]
0001011011: [5, 54]
0001011100: [14, 24]
0001011101: [7, 35]
0001011110: [13, 32]
0001011111: [31, 58]
0001100000: [3, 7]
0001100001: [5, 20]
0001100010: [0]
0001100011: [19, 32]
0001100100: [0, 9]
0001100101: [0, 2]
0001100110: [11, 26]
0001100111: [21, 42]
0001101000: [45, 51]
0001101001: [8, 25]
0001101010: [21, 35]
0001101011: [0, 33]
0001101100: [6, 28]
0001101101: [5, 12]
0001101110: [16, 19]
0001101111: [15, 50]
0001110000: [7, 13]
0001110001: [4, 37]
0001110010: [2, 8]
0001110011: [8, 9]
0001110100: [17, 26]
0001110101: [8]
0001110110: [50, 51]
0001110111: [30, 46]
0001111000: [25, 43]
0001111001: [24, 28]
0001111010: [19, 21]
0001111011: [36, 37]
0001111100: [8, 33]
0001111101: [22, 31]
0001111110: [0, 25]
0001111111: [14, 38]
0010000000: [21, 36]
0010000001: [28, 29]
0010000010: [13, 33]
0010000011: [26, 27]
0010000100: [11, 46]
0010000101: [12, 15]
0010000110: [12, 39]
0010000111: [3, 25]
0010001000: [23, 54]
0010001001: [15, 20]
0010001010: [4, 21]
0010001011: [13]
0010001100: [2, 13]
0010001101: [9, 13]
0010001110: [7, 8]
0010001111: [6, 18]
0010010000: [10, 26]
0010010001: [35, 37]
0010010010: [3, 33]
0010010011: [4, 32]
0010010100: [1, 20]
0010010101: [26, 30]
0010010110: [17, 46]
